 ประเภท,รายละเอียด
predpt_name,Eucerin Packing @ Tesco
vchno,APO2022010062
vchdate,44565
remark,จ่ายเงินสดย่อย คุณบุญชม-ค่าเทปใสและกาวร้อน#PR2021120199
costcode,C100008
DR_amt,445.79
CR_amt,0
predpt_name,Earth Merchandiser Program 1-15 Jan 22
vchno,APO2022010063
vchdate,44565
remark,จ่ายเงินสดย่อย คุณบุญชม-ค่ากล่องไปรษณีย์#PR2021120248
costcode,C100008
DR_amt,112.15
CR_amt,0
predpt_name,Earth Merchandiser Program 1-15 Jan 22
vchno,APO2022010063
vchdate,44565
remark,จ่ายเงินสดย่อย คุณบุญชม-ค่ากล่องไปรษณีย์#PR2021120248
costcode,C100008
DR_amt,616.82
CR_amt,0
predpt_name,Weber Bonus Prize [Dec 2021]
vchno,APO2022010022
vchdate,44567
remark,"เคลียร์เงินทดรองจ่าย คุณธนพงษ์#PR2021120221 *ยอดโอน 1,326 ลว.7.1.2022"
costcode,C100008
DR_amt,424.3
CR_amt,0
